handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_1cc4562a-88ec-2eef-f3f5-d92ce751eac7,Product,Cobra Artist Oil Colour Light Gold 40ML,,bee945_fea0c534a1fc4d89ab4ed45cfbc04a03~mv2.png;bee945_f623f59205e04792bf33a6e6555bd7e3~mv2.png;bee945_b20a7abb4ece4e6cbf75707c66b20259~mv2.png,COBRA,TA21058020,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9a497f51-e64e-5e20-1f25-f6c6025b800e,Product,Cobra Artist Oil Colour Silver 40ML,,bee945_48a28d2318b849dd99c4350d79b00c24~mv2.png;bee945_73b2dcbbb9c24362adf41c26afd01dc7~mv2.png;bee945_f8e19a4d65be42f1b54c59df40c2f9f5~mv2.png,COBRA,TA21058000,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_83fb8ad7-fcc9-3d4d-34a3-4ddd9bc6f2d7,Product,Cobra Artist Oil Colour Paynes Grey 40ML,,bee945_d6a40a8b79e54ce3b6ae0b356a3e82bd~mv2.png;bee945_6a3efc34bf8944319bcaecfa08a199ee~mv2.png;bee945_7fe905cb802a45c998575d8e8c71be03~mv2.png,COBRA,TA21057080,,4.79,,true,PERCENT,0.0,6,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8c1a6e9f-bb51-c996-1548-2b82dc60b703,Product,Cobra Artist Oil Colour Ivory Black 40ML,,bee945_07faa3e594414b87b9cf79aa82b3c2d2~mv2.png;bee945_202f9df4fa0745ab87fefcdabb255319~mv2.png;bee945_1de87714844544f1a4e990ce7ed80927~mv2.png,COBRA,TA21057010,,4.27,,true,PERCENT,0.0,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d924c4b6-ac12-2dd5-a152-91b8ad7a67ca,Product,Cobra Artist Oil Colour Chromium Oxide Green 40ML,,bee945_cd78e26a97ec43dcba111278c0feec1b~mv2.png;bee945_053c6f916e2c4e04964238a65d345760~mv2.png;bee945_771705c0d53d4724bdb63b105dfbed7b~mv2.png,COBRA,TA21056680,,9.23,,true,PERCENT,0.0,6,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a3a69d11-97b3-2bf0-92d0-f4d7333dbda1,Product,Cobra Artist Oil Colour Yellowish Green 40ML,,bee945_ef1ea49280cc48fe85fc32113d420557~mv2.png;bee945_3b259c7dc045444ebe51759a0d0f5292~mv2.png;bee945_7809632b24344f76a31daf9a96b2caac~mv2.png,COBRA,TA21056170,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_543ec50e-7231-9453-797a-77dd16a2bd60,Product,Cobra Artist Oil Colour Permanent Blue Violet 40ML,,bee945_e2d6af9e1a0c49cd8d1eb8aa21d1865b~mv2.png;bee945_7f78208de1204066adc0255ec290f9b0~mv2.png;bee945_5977762c2f87401fa2bc4528e08429b2~mv2.png,COBRA,TA21055680,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f6e72f30-c6fc-aad0-23e7-71be438bafa0,Product,Cobra Artist Oil Colour Permanent Red Violet 40ML,,bee945_f00cf5bfc2234905b6693ad1c98fba02~mv2.png;bee945_1596669310574a4eb0387af74ea54d81~mv2.png;bee945_5857cd9e18914727ac84b1a2d356401a~mv2.png,COBRA,TA21055670,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ecf0b980-b075-5ae4-8e63-b04557eed62d,Product,Cobra Artist Oil Colour Phthalo Turquoise Blue 40ML,,bee945_b10b66eb3a6a4ea59b9390665abd1c5f~mv2.png;bee945_1a0c753ea470402199b03185134ba6ac~mv2.png;bee945_718f02f7ed68491983ff7e4d59dae886~mv2.png,COBRA,TA21055650,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c422c908-ccf2-2809-4185-23262554c318,Product,Cobra Artist Oil Colour Blue Violet 40ML,,bee945_62766f86b34244c2a051149328de717a~mv2.png;bee945_dcc6bf51298841b2a5fe0c747fa25927~mv2.png;bee945_64b5989360f2422394c79284f9370911~mv2.png,COBRA,TA21055480,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e56f3348-5314-4918-f7ff-1a72a62283df,Product,Cobra Artist Oil Colour Violet 40ML,,bee945_2fa4abd2790642bca58a479488254633~mv2.png;bee945_d8eb4a3ec2bc4e4e90c7076683d3c7eb~mv2.png;bee945_ff03796516e844fcb8b5e36f2bd63bb4~mv2.png,COBRA,TA21055360,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7c8bb6ee-8cc9-0bcb-dd49-200a1170fd67,Product,Cobra Artist Oil Colour Turquoise Blue 40ML,,bee945_b2ce8e8b9f674f4ebaf09aee50476455~mv2.png;bee945_b88c7951dd8b423ba1eab7e911254002~mv2.png;bee945_b78e8d7d035d4a3aa8e87ee6e3c6df74~mv2.png,COBRA,TA21055220,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8ef2fe45-168c-b587-f996-938466dec87c,Product,Cobra Artist Oil Colour Kings Blue 40ML,,bee945_02801a7e985848ff91aed78e0c1f1995~mv2.png;bee945_c0629b86db6e4d6697603f7cfa5f9556~mv2.png;bee945_1a24806e56fa407698fc303d66a6c6ce~mv2.png,COBRA,TA21055170,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d91fc5a4-d97f-adf1-f0d1-71fa3dada593,Product,Cobra Artist Oil Colour Cobalt Blue Umar 40ML,,bee945_9bd43cd6fc874e509e10e4ff08a65e16~mv2.png;bee945_9c334d44df6c4d17ad5110e89462682e~mv2.png;bee945_2594c1a308254e4fa9c16120ab69b39f~mv2.png,COBRA,TA21055120,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fbd653b4-9e60-2db0-95a3-00d58f061ed9,Product,Cobra Artist Oil Colour Raw Umber 40ML,,bee945_a0d045f911134d12b33f5f7d7fc98f25~mv2.png;bee945_129c3e882adf4dd28fec6985820f3aaa~mv2.png;bee945_2464d350a9f74a049b8d9e1186dccc4c~mv2.png,COBRA,TA21054080,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f4283f57-4827-44e7-9046-897a9521d357,Product,Cobra Artist Oil Colour Madder Lake 40ML,,bee945_46713bff101640609eb0ffe3849f0265~mv2.png;bee945_10a329cb78fb4e5d881134bd2843dbbd~mv2.png;bee945_417fe36148494781bb6df2ca94a3f77a~mv2.png,COBRA,TA21053890,,4.79,,true,PERCENT,0.0,6,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1ec290e8-eeff-26d7-3330-05adf476c4ad,Product,Cobra Artist Oil Colour Transparent Oxide Red 40ML,,bee945_c4311e2aabd64c3da99efcdc2c336e36~mv2.png;bee945_4f1fb294817e490fbccdd61dacab5be0~mv2.png;bee945_607bafa595514398a20449d61d61b0b3~mv2.png,COBRA,TA21053780,,6.15,,true,PERCENT,0.0,6,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
